ScenarioID,Status,ErrTheta,ErrP,ErrF,SumPtrue,Note
1,ok,5.93740792442175e-16,4.10422034351617e-16,3.67569992353302e-16,0,
2,ok,5.64263959305436e-16,8.59623662071421e-16,5.48788586735748e-16,0,
3,ok,2.69188901030078e-16,1.9359879175735e-16,1.28680242476267e-16,4.44089209850063e-16,
4,ok,5.60085237036486e-16,6.72258965728658e-16,3.55310009529574e-16,-8.88178419700125e-16,
5,ok,4.5346925775473e-16,2.16550561163251e-16,2.2147523059413e-16,-6.66133814775094e-16,
6,ok,2.24036824652159e-16,2.92057868783738e-16,2.36234697111012e-16,0,
7,ok,4.90719234070062e-16,4.86413488982278e-16,2.257951762943e-16,0,
8,ok,2.67994497487817e-16,3.57307289100742e-16,1.87529006933642e-16,0,
9,ok,2.12189866934143e-16,1.73118522679708e-16,1.9102007782292e-16,0,
10,ok,1.94654922329126e-16,3.03887936149415e-16,2.06645948345519e-16,0,
